county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
jefferson,267953.0285762999,24979,220011258,7514,8361,5215,2284,1605,18086,143100757,100836436,17957077,24307243,12135,4357,1594,697,1413624,1448371,1455041,1474244,13566377,14908675,12300819,13941360,6724921,6718890,7100207,7624253,21704922,23075937,20856067,23039857,26704,27099,28692,30982,31880,34080,33615,35250,36287,38394,37108,40654,41973,41607,42338,250183,250638,250849,245962,247629,249430,251332,252453,253397,251458,253022,252708,254889,255954,256299,6680961,6791951,7197370,7620295,7894405,8500467,8448527,8899093,9194899,9654481,9389256,10273693,10698531,10649563,10851311
karnes,7123.976386,235,277127,78,155,1,0,1,83,216324,154137,32244,29944,81,1,1,1,93485,104622,112770,122353,164182,168523,271086,354368,180996,205654,235888,261431,438663,478799,619743,738152,19074,19015,20370,20836,22336,23559,23172,25422,28112,31080,34338,40601,41915,42490,44986,15119,15109,14967,14985,14900,14867,14805,14884,14947,14848,14722,14833,15247,15264,15187,288377,287297,304882,312231,332808,350254,343065,378382,420188,461479,505530,602234,639080,648563,683202
kleberg,1400.3041124000001,408,296369,223,182,3,0,0,247,316129,162073,40364,113693,244,3,0,0,374442,382131,390262,405831,236390,318735,261549,211862,506539,536171,578315,615416,1117371,1237037,1230126,1233110,23169,23666,24437,25812,26579,27863,27825,29562,31964,33668,35239,37089,37043,35990,37123,31339,31362,31242,31149,31370,31555,31876,32033,32026,32092,32016,31850,31398,31347,31088,726094,742215,763461,804014,833789,879203,886949,946965,1023680,1080465,1128215,1181269,1163089,1128179,1154083
lavaca,5692.5153316,195,163654,84,110,1,0,0,68,118710,69052,18297,31360,66,2,0,0,55520,58724,60831,63938,299152,307708,301822,289351,253858,260560,274124,289563,608530,626992,636776,642853,27080,26872,28683,30486,33137,35907,34490,37074,41230,44485,47492,52091,49552,47082,47880,19152,19130,19185,19181,19238,19185,19226,19253,19305,19524,19630,19779,19916,19910,20062,518634,514070,550277,584759,637494,688867,663099,713790,795947,868532,932261,1030313,986871,937405,960559
lee,14543.095063,134,513044,46,74,4,6,4,68,269079,198437,42637,28004,61,5,2,1,81350,82078,82679,87672,313344,323906,366970,326584,264481,271916,308788,339028,659174,677900,758438,753284,24787,24920,27073,29046,30567,33560,32324,33671,36090,39415,39682,43623,43153,43140,44991,16234,16220,16330,16348,16421,16550,16565,16591,16555,16504,16554,16633,16883,16998,17183,402395,404207,442108,474850,501945,555410,535452,558633,597478,650511,656889,725577,728556,733295,773083
liberty,218702.63115567,5904,33983728,1479,3169,796,297,163,3848,26578209,18771277,4063625,3743309,2858,759,231,92,263688,272573,284103,299823,522790,493670,500984,447422,773294,785445,835807,870210,1559772,1551687,1620894,1617455,22315,23105,24887,26470,27676,28826,27738,28273,30485,31937,32880,34301,35296,35566,35840,73734,74285,74303,74269,74515,74915,75041,75856,75970,76340,76827,78014,79542,81377,83658,1645376,1716327,1849204,1965925,2062267,2159513,2081508,2144696,2315935,2438059,2526049,2675923,2807520,2894262,2998337
matagorda,60900.7939813,2672,4660160,1221,1302,103,39,7,2868,4352274,2214650,531321,1606303,2755,103,10,4,149890,155412,159174,168134,202874,222067,238183,227599,1377063,1380412,1569727,1523604,1729826,1757891,1967085,1919337,22380,23902,25418,26988,29097,31624,30915,31187,33245,34532,36389,38832,40040,39647,40827,37695,37388,37132,36743,36452,36708,36579,36705,36681,36543,36506,36494,36762,37117,36840,843619,893631,943808,991614,1060655,1160866,1130854,1144705,1219474,1261905,1328424,1417149,1471940,1471594,1504079
montgomery,309176.30510146,8127,72071236,2639,3029,1024,651,784,5171,32585405,21811981,6363244,4410183,4018,796,357,181,1595417,1712412,1829684,1981022,9774825,13863834,13704214,7985362,9983571,10891106,12063662,13484882,21353812,26467352,27597559,23451266,33621,34652,38752,43025,46613,51210,47412,49167,52156,59694,62153,64448,59630,56157,57585,341499,357607,372541,392497,411416,429818,445836,459185,471438,484453,498467,516798,535214,554522,570934,11481449,12391944,14436835,16886995,19177243,22011148,21138073,22576609,24588215,28918914,30981334,33306728,31914797,31140467,32877204
newton,64097.571148,1293,7338259,437,590,141,84,41,862,3853197,2617629,495913,739656,735,98,29,13,33636,34421,35271,36616,19560,19559,18480,17159,366091,289799,287929,384304,419287,343779,341680,438079,16399,16736,17591,18279,20367,22936,22418,23444,24793,25949,26824,29028,30099,30511,31306,14938,14560,14625,14349,14335,14393,14446,14448,14561,14431,14332,14296,14169,14186,13952,244963,243680,257270,262281,291956,330116,323850,338721,361017,374475,384437,414979,426466,432824,436784
nueces,49563.918237009995,12795,16823606,4405,7945,320,90,35,6750,11372937,5167561,2830916,3374458,6558,160,32,12,2475095,2453227,2513451,2617430,6901292,7650046,6556545,6824167,8944548,9623434,10597996,11152607,18320935,19726707,19667992,20594204,28104,29067,31042,32760,33524,36969,34399,36694,39432,40740,41502,43385,42604,40647,41873,317632,321879,325515,329113,330512,333526,338220,340261,343225,347848,352781,356452,360437,361529,361221,8926744,9355936,10104560,10781742,11080123,12330113,11634483,12485495,13534104,14171370,14641008,15464512,15356003,14695250,15125406
