,year,period,county,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2006-01-01,2006.0,1.0,jefferson,426.0,418.0,12646.0,839.0,137936806.0,12343.0,12705.0,12891.0
2006-04-01,2006.0,2.0,hardin,108.0,107.0,1872.0,814.0,19815614.0,1837.0,1809.0,1971.0
2006-04-01,2006.0,2.0,orange,131.0,128.0,1728.0,696.0,15638318.0,1645.0,1792.0,1748.0
2006-04-01,2006.0,2.0,jefferson,429.0,420.0,11996.0,853.0,133063131.0,12000.0,12203.0,11784.0
2006-04-01,2006.0,2.0,harris,6362.0,5942.0,144339.0,906.0,1699866729.0,142516.0,144228.0,146273.0
2006-07-01,2006.0,3.0,hardin,106.0,105.0,1944.0,844.0,21329290.0,1784.0,1965.0,2082.0
2006-07-01,2006.0,3.0,jefferson,426.0,417.0,12041.0,925.0,144787331.0,11870.0,12057.0,12196.0
2006-07-01,2006.0,3.0,orange,134.0,131.0,1564.0,794.0,16137589.0,1601.0,1569.0,1522.0
2006-07-01,2006.0,3.0,harris,6379.0,5935.0,145947.0,906.0,1719648895.0,145008.0,145521.0,147313.0
2006-10-01,2006.0,4.0,jefferson,421.0,411.0,12178.0,1008.0,159517468.0,12054.0,12270.0,12210.0
2006-10-01,2006.0,4.0,hardin,107.0,106.0,1913.0,978.0,24325501.0,2066.0,1987.0,1686.0
2006-10-01,2006.0,4.0,orange,136.0,133.0,1451.0,763.0,14395239.0,1466.0,1429.0,1459.0
2006-10-01,2006.0,4.0,harris,6416.0,5955.0,148736.0,1085.0,2097497867.0,148404.0,148948.0,148857.0
2007-01-01,2007.0,1.0,orange,139.0,136.0,1416.0,739.0,13608099.0,1354.0,1447.0,1446.0
2007-01-01,2007.0,1.0,hardin,110.0,110.0,1446.0,857.0,16100908.0,1483.0,1396.0,1459.0
2007-01-01,2007.0,1.0,jefferson,448.0,437.0,13355.0,844.0,146464354.0,12864.0,13308.0,13894.0
2007-01-01,2007.0,1.0,harris,6762.0,6303.0,150710.0,999.0,1956886259.0,147419.0,151318.0,153392.0
2007-04-01,2007.0,2.0,hardin,110.0,110.0,1642.0,814.0,17376226.0,1627.0,1617.0,1681.0
2007-04-01,2007.0,2.0,orange,138.0,135.0,1475.0,755.0,14478825.0,1455.0,1496.0,1474.0
2007-04-01,2007.0,2.0,harris,6826.0,6338.0,155139.0,973.0,1962705705.0,152719.0,155083.0,157615.0
2007-04-01,2007.0,2.0,jefferson,456.0,443.0,13897.0,888.0,160375376.0,13831.0,13984.0,13875.0
2007-07-01,2007.0,3.0,hardin,106.0,106.0,1366.0,880.0,15629272.0,1376.0,1408.0,1313.0
2007-07-01,2007.0,3.0,orange,136.0,132.0,1445.0,743.0,13957005.0,1447.0,1436.0,1452.0
2007-07-01,2007.0,3.0,jefferson,452.0,438.0,13876.0,927.0,167156071.0,13824.0,13640.0,14163.0
2007-07-01,2007.0,3.0,harris,6918.0,6414.0,155807.0,959.0,1943110943.0,155852.0,155727.0,155842.0
2007-10-01,2007.0,4.0,jefferson,453.0,440.0,13841.0,1016.0,182758142.0,14162.0,13733.0,13629.0
2007-10-01,2007.0,4.0,orange,135.0,131.0,1496.0,828.0,16104326.0,1415.0,1463.0,1611.0
2007-10-01,2007.0,4.0,harris,6974.0,6471.0,159974.0,1120.0,2329213041.0,159736.0,160093.0,160094.0
2007-10-01,2007.0,4.0,hardin,105.0,105.0,1341.0,997.0,17389417.0,1365.0,1370.0,1289.0
2008-01-01,2008.0,1.0,harris,6741.0,6231.0,161487.0,1043.0,2190173252.0,158706.0,162611.0,163143.0
2008-01-01,2008.0,1.0,orange,130.0,125.0,1692.0,755.0,16619014.0,1617.0,1683.0,1777.0
2008-01-01,2008.0,1.0,hardin,99.0,99.0,1318.0,964.0,16515546.0,1304.0,1295.0,1354.0
2008-01-01,2008.0,1.0,jefferson,442.0,428.0,14473.0,1016.0,191240947.0,13734.0,14731.0,14955.0
