,,,,,,,,,,,,,,,,,,,,,,
Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
1603,LA,Acadia (Parish),NEW ORLEANS,70115,3,"$2,807",3,"$8,422",1,2,0,0,0,3,"$23,210","$2,349","$6,940","$13,921",2,1,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70116,1,"$11,647",1,"$11,647",0,0,1,0,0,1,"$14,639","$5,200","$3,320","$6,119",0,1,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70117,6,"$54,260",6,"$325,559",3,0,0,0,3,4,"$56,762","$14,234","$12,258","$30,269",2,1,1,1
1603,LA,Acadia (Parish),NEW ORLEANS,70118,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70119,2,$0,2,$0,2,0,0,0,0,2,"$19,505",$0,"$5,113","$14,392",1,1,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70122,2,"$6,499",2,"$12,998",1,0,1,0,0,1,"$3,320",$0,"$3,320",$0,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70124,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70125,1,"$2,633",1,"$2,633",0,1,0,0,0,1,"$4,177",$65,"$3,320",$791,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70126,4,"$48,213",4,"$192,850",2,0,1,0,1,3,"$67,208","$21,000","$23,728","$22,480",1,0,2,2
1603,LA,Acadia (Parish),NEW ORLEANS,70127,1,"$10,002",1,"$10,002",0,0,1,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70128,2,"$245,531",2,"$491,062",0,0,0,0,2,2,"$21,341",$0,"$6,940","$14,401",1,1,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70131,2,$595,2,"$1,189",0,2,0,0,0,2,"$4,000",$0,"$4,000",$0,2,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,70215,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),NEW ORLEANS,77140,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),PEARL RIVER,70452,1,"$1,111",1,"$1,111",0,1,0,0,0,1,"$2,791",$0,"$2,000",$791,1,0,0,0
1603,LA,Acadia (Parish),RAYNE,70526,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),RAYNE,70578,39,"$1,198",32,"$38,336",22,8,2,0,0,17,"$59,512","$13,256","$30,670","$15,586",15,2,0,0
1603,LA,Acadia (Parish),RIVER RIDGE,70093,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),SAINT BERNARD,70085,2,"$57,954",2,"$115,908",1,0,0,0,1,1,"$12,500","$10,500","$2,000",$0,0,1,0,0
1603,LA,Acadia (Parish),SAINT MARTINVILLE,70852,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),SCOTT,70583,2,$0,2,$0,2,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),SLAUGHTER,70777,1,"$2,181",1,"$2,181",0,1,0,0,0,1,"$4,005","$2,005","$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),SLIDELL,70458,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Acadia (Parish),SLIDELL,70460,1,"$15,278",1,"$15,278",0,0,1,0,0,1,"$5,658",$0,"$5,658",$0,1,0,0,0
1603,LA,Acadia (Parish),SLIDELL,70461,3,"$1,800",3,"$5,400",2,1,0,0,0,2,"$4,000",$0,"$4,000",$0,2,0,0,0
1603,LA,Acadia (Parish),SORRENTO,70778,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),SPRINGFIELD,70462,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Acadia (Parish),TICKFAW,70466,1,"$5,815",1,"$5,815",0,1,0,0,0,1,"$2,791",$0,"$2,000",$791,1,0,0,0
1603,LA,Acadia (Parish),WALKER,70785,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Adams (County),GULFPORT,00000,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Ascension (Parish),BATON ROUGH,70805,1,$0,1,$0,1,0,0,0,0,1,"$4,000",$0,"$4,000",$0,1,0,0,0
1603,LA,Ascension (Parish),BELLE ,70341,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
