,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,
disaster,state,mergecell,county,city,zip,valid_registrations,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,disaster_type,county_clean,,,State,County,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
1606,TX,brazoria_tx,Brazoria ,BRAZOIA,77422,1,670,1,670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,BRAZORIA,77422,357,863,152,131191,92,59,0,0,1,51,90147,10951,69717,9478,50,1,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,BRAZORIA,77482,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,BROOKSIDE VILLAGE,77581,3,114,2,228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,CLUTE,77531,248,130,87,11351,71,16,0,0,0,22,41893,4280,36000,1614,22,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,DAMON,77430,11,57,7,399,6,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,DANBURY,77534,68,15,33,503,26,7,0,0,0,10,18219,0,18000,219,10,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,DANCIGER,77431,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,DAYTON,77535,1,241,1,241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,FREEPORT,77514,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,FREEPORT,77541,513,306,213,65267,116,97,0,0,0,50,84014,20219,57417,6378,50,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,FREEPORT,77542,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,FRIENDSWOOD,77546,4,530,4,2121,2,2,0,0,0,1,3342,794,2548,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,HOLIDAY LAKES,77515,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,HOUSTON,77583,1,84,1,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,HULL,77564,1,807,1,807,0,1,0,0,0,1,807,0,0,807,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,JONES CREEK,77541,16,16,8,126,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,LAKE JACKSON,77566,358,52,109,5646,92,17,0,0,0,39,67350,748,64000,2601,39,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,LAKEJACKSON,77566,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,LIVERPOOL,77577,43,240,24,5756,14,10,0,0,0,7,11857,3088,8000,769,7,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,LIVINGSTON,77351,3,700,3,2101,2,1,0,0,0,1,2101,2101,0,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,MANVEL,77578,164,320,83,26583,46,37,0,0,0,23,38177,2205,32000,3971,23,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,MANVEL,77583,1,98,1,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,N / A,77566,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,OLD OCEAN,77463,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
