Rita,Harvey,mergecell,Geofips,State,Geoname,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
0,0,martin_tx,48317,TX,"Martin, TX",28112,30591,34109,38649,73411,85794,88493,77771,92081,98371,106007,108053,193605,214756,228609,224472,26535,26854,29087,26179,36383,27499,32910,42970,40441,46164,49924,50989,48777,44565,46781,4553,4398,4447,4443,4494,4558,4710,4809,4889,4981,5274,5472,5676,5688,5626,120813,118102,129349,116312,163504,125341,155005,206643,197716,229944,263301,279012,276861,253483,263189
0,0,mason_tx,48319,TX,"Mason, TX",14566,16171,16591,17355,49245,88898,86241,60330,46446,52803,58285,84183,110257,157872,161117,161868,24011,24967,25255,28289,27535,29018,29069,30963,33835,37119,42324,43739,42052,39831,42113,3762,3811,3813,3862,3897,3876,3982,4007,4022,4040,4105,4078,4043,4161,4222,90329,95148,96299,109251,107305,112474,115752,124069,136085,149961,173742,178367,170015,165736,177802
0,Harvey,matagorda_tx,48321,TX,"Matagorda, TX",149890,155412,159174,168134,202874,222067,238183,227599,1377063,1380412,1569727,1523604,1729826,1757891,1967085,1919337,22380,23902,25418,26988,29097,31624,30915,31187,33245,34532,36389,38832,40040,39647,40827,37695,37388,37132,36743,36452,36708,36579,36705,36681,36543,36506,36494,36762,37117,36840,843619,893631,943808,991614,1060655,1160866,1130854,1144705,1219474,1261905,1328424,1417149,1471940,1471594,1504079
0,0,maverick_tx,48323,TX,"Maverick, TX",398641,410310,431713,454963,148495,149225,150797,168685,527711,564906,627887,688002,1074847,1124441,1210397,1311650,15241,15873,16953,17746,19013,20603,21825,23273,24745,25389,26091,27162,27868,27891,28636,49123,49627,50140,50951,51367,52190,53434,54447,55224,55658,56462,57031,57658,57989,58216,748697,787748,850016,904175,976644,1075264,1166205,1267141,1366504,1413128,1473166,1549066,1606813,1617378,1667053
0,0,medina_tx,48325,TX,"Medina, TX",174950,182524,190171,203643,173312,200150,253681,230159,341933,368482,384368,403845,690195,751157,828220,837647,22285,22961,23883,24871,26328,28120,28412,29525,31020,32708,33879,35445,36704,37268,38189,41549,42363,42977,43936,44577,45131,45605,46130,46523,46817,47263,47834,48380,49196,50066,925900,972677,1026416,1092737,1173635,1269081,1295751,1361998,1443152,1531305,1601207,1695475,1775750,1833421,1911981
0,0,menard_tx,48327,TX,"Menard, TX",9671,10220,10359,10783,15682,14000,13539,12840,9187,11789,11670,12947,34540,36008,35568,36571,23707,24137,25869,26388,28614,26492,26459,26468,29530,29896,35474,35112,37849,37285,35475,2311,2265,2212,2199,2176,2217,2227,2230,2212,2202,2135,2125,2131,2102,2124,54786,54671,57223,58027,62265,58733,58925,59024,65321,65830,75737,74613,80657,78373,75348
0,0,midland_tx,48329,TX,"Midland, TX",658506,703553,762326,804934,17248000,21546718,23305881,14000908,6237500,6947498,8003806,8153275,24144006,29197769,32072013,22959117,52556,53642,60444,64071,61077,87463,62545,73335,99834,108899,112288,119475,89893,76600,75002,119164,120746,122516,125844,128954,132502,136238,136979,140172,147270,152319,156564,162012,163473,165049,6262810,6477044,7405312,8062932,7876175,11588974,8520952,10045305,13993929,16037622,17103574,18705549,14563719,12522094,12379069
0,0,milam_tx,48331,TX,"Milam, TX",74149,75743,76892,79670,282804,305788,297896,292604,630577,644155,662794,614415,987529,1025686,1037583,986690,23499,23460,25128,26528,28110,28928,28094,30061,30320,32984,33767,35595,37095,36343,36731,24917,25136,25017,25082,24946,25065,24864,24674,24597,24105,24082,24147,24380,24735,25053,585522,589697,628620,665377,701226,725081,698531,741726,745775,795086,813184,859501,904383,898934,920234
0,0,mills_tx,48333,TX,"Mills, TX",18892,19662,20614,22822,27322,30532,30622,30397,54734,57495,80173,79211,100947,107689,131409,132430,24073,25039,24594,26478,25651,26726,27170,29159,30999,32197,32719,34509,38011,36219,36789,4885,4880,4957,4854,4871,4876,4877,4968,4881,4827,4868,4867,4887,4894,4921,117595,122188,121913,128523,124945,130315,132510,144860,151305,155416,159274,167954,185762,177258,181037
0,0,mitchell_tx,48335,TX,"Mitchell, TX",80557,75542,77625,82911,70095,84340,97740,79483,80898,83522,92201,90848,231551,243404,267566,253242,18477,19339,19836,20368,22259,22255,22854,25069,27381,27600,30911,29895,30412,29417,30037,9366,9280,9322,9279,9339,9285,9399,9413,9394,9327,8999,9066,8856,8479,8468,173060,179470,184910,188998,207878,206639,214801,235972,257217,257422,278172,271032,269329,249428,254354
