Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2012,03,Harris,Total All,23,Construction,2,"6,496","6,116","144,338","1,134","2,127,762,769","141,883","145,311","145,820",193
2012,03,Hardin,Total All,23,Construction,2,98,97,"1,066",998,"13,821,544","1,066","1,087","1,044",193
2012,03,Orange,Total All,23,Construction,2,122,116,"1,848",951,"22,853,372","1,864","1,840","1,841",193
2012,03,Jefferson,Total All,23,Construction,2,456,434,"15,265","1,186","235,401,139","15,216","15,455","15,123",193
2012,04,Jefferson,Total All,23,Construction,2,448,432,"14,871","1,236","239,009,831","15,253","14,795","14,565",193
2012,04,Harris,Total All,23,Construction,2,"6,518","6,137","147,661","1,324","2,541,474,228","149,659","147,530","145,794",193
2012,04,Hardin,Total All,23,Construction,2,98,98,"1,123","1,110","16,204,070","1,114","1,132","1,124",193
2012,04,Orange,Total All,23,Construction,2,124,118,"2,262",984,"28,943,147","2,276","2,278","2,233",193
2013,01,Hardin,Total All,23,Construction,2,95,95,"1,214","1,065","16,798,511","1,208","1,190","1,243",193
2013,01,Orange,Total All,23,Construction,2,126,120,"2,406",877,"27,435,471","2,405","2,406","2,407",193
2013,01,Harris,Total All,23,Construction,2,"6,524","6,170","147,355","1,250","2,394,422,037","143,701","149,160","149,204",193
2013,01,Jefferson,Total All,23,Construction,2,444,429,"13,195","1,154","197,869,474","12,841","13,382","13,361",193
2013,02,Orange,Total All,23,Construction,2,124,118,"1,933",928,"23,333,878","1,944","1,949","1,907",193
2013,02,Hardin,Total All,23,Construction,2,99,96,"1,552","1,204","24,305,925","1,430","1,614","1,613",193
2013,02,Harris,Total All,23,Construction,2,"6,590","6,244","149,785","1,201","2,338,380,460","149,520","149,649","150,186",193
2013,02,Jefferson,Total All,23,Construction,2,444,429,"12,926","1,160","194,980,365","13,123","12,908","12,746",193
2013,03,Harris,Total All,23,Construction,2,"6,640","6,301","148,324","1,179","2,273,839,564","147,823","148,956","148,194",193
2013,03,Orange,Total All,23,Construction,2,119,113,"1,945",916,"23,161,259","1,883","1,949","2,003",193
2013,03,Hardin,Total All,23,Construction,2,98,95,"1,514","1,071","21,086,112","1,434","1,480","1,629",193
2013,03,Jefferson,Total All,23,Construction,2,440,424,"12,225","1,144","181,854,980","12,089","12,154","12,432",193
2013,04,Orange,Total All,23,Construction,2,120,114,"1,907","1,074","26,619,152","1,956","1,906","1,860",193
2013,04,Hardin,Total All,23,Construction,2,99,96,"1,707","1,248","27,686,200","1,754","1,692","1,675",193
2013,04,Harris,Total All,23,Construction,2,"6,689","6,348","150,239","1,348","2,631,845,578","150,622","150,066","150,029",193
2013,04,Jefferson,Total All,23,Construction,2,440,423,"12,978","1,187","200,250,918","13,182","12,985","12,768",193
2014,01,Jefferson,Total All,23,Construction,2,437,420,"12,747","1,151","190,786,488","12,592","12,749","12,900",193
2014,01,Harris,Total All,23,Construction,2,"6,757","6,412","152,295","1,305","2,582,906,320","149,608","153,409","153,869",193
2014,01,Orange,Total All,23,Construction,2,128,124,"1,820",885,"20,946,751","1,655","1,814","1,992",193
2014,01,Hardin,Total All,23,Construction,2,100,97,"1,330","1,023","17,686,488","1,453","1,260","1,278",193
2014,02,Orange,Total All,23,Construction,2,133,129,"2,089","1,054","28,620,228","1,994","2,146","2,128",193
2014,02,Jefferson,Total All,23,Construction,2,431,413,"13,697","1,227","218,563,249","13,451","13,938","13,702",193
2014,02,Hardin,Total All,23,Construction,2,100,97,"1,439","1,113","20,823,870","1,350","1,462","1,504",193
2014,02,Harris,Total All,23,Construction,2,"6,805","6,458","158,113","1,264","2,597,296,224","156,813","159,374","158,153",193
2014,03,Orange,Total All,23,Construction,2,136,132,"2,275","1,063","31,448,774","2,231","2,203","2,392",193
2014,03,Harris,Total All,23,Construction,2,"6,842","6,492","160,445","1,251","2,609,264,280","158,209","160,703","162,424",193
2014,03,Hardin,Total All,23,Construction,2,99,96,"1,529","1,089","21,658,933","1,547","1,498","1,543",193
2014,03,Jefferson,Total All,23,Construction,2,428,410,"14,458","1,174","220,705,442","13,970","14,484","14,919",193
2014,04,Jefferson,Total All,23,Construction,2,435,415,"15,698","1,334","272,167,188","16,021","15,693","15,380",193
2014,04,Harris,Total All,23,Construction,2,"6,902","6,556","162,968","1,450","3,072,236,952","163,774","162,468","162,661",193
2014,04,Hardin,Total All,23,Construction,2,100,97,"1,535","1,269","25,323,516","1,585","1,556","1,464",193
2014,04,Orange,Total All,23,Construction,2,136,132,"2,462","1,305","41,769,103","2,354","2,464","2,569",193
2015,01,Hardin,Total All,23,Construction,2,100,97,"1,246","1,024","16,584,030","1,322","1,257","1,160",193
2015,01,Harris,Total All,23,Construction,2,"7,004","6,650","164,434","1,320","2,821,509,598","162,454","165,389","165,458",193
2015,01,Orange,Total All,23,Construction,2,135,131,"2,761","1,014","36,410,945","2,689","2,722","2,872",193
2015,01,Jefferson,Total All,23,Construction,2,433,416,"14,363","1,251","233,550,014","13,995","14,816","14,277",193
2015,02,Hardin,Total All,23,Construction,2,100,97,"1,352","1,140","20,047,742","1,188","1,370","1,499",193
2015,02,Orange,Total All,23,Construction,2,133,129,"2,643","1,139","39,122,789","2,699","2,671","2,559",193
2015,02,Jefferson,Total All,23,Construction,2,429,411,"14,206","1,272","234,991,744","13,808","14,454","14,356",193
2015,02,Harris,Total All,23,Construction,2,"7,045","6,690","165,458","1,262","2,713,804,806","163,704","165,817","166,852",193
2015,03,Harris,Total All,23,Construction,2,"7,106","6,750","167,908","1,295","2,826,498,133","166,966","168,251","168,507",193
2015,03,Hardin,Total All,23,Construction,2,102,100,"1,256","1,077","17,576,386","1,232","1,252","1,283",193
2015,03,Orange,Total All,23,Construction,2,129,125,"2,611","1,178","39,993,745","2,477","2,578","2,777",193
2015,03,Jefferson,Total All,23,Construction,2,427,409,"13,546","1,301","229,140,344","13,754","13,555","13,329",193
2015,04,Orange,Total All,23,Construction,2,128,125,"2,536","1,398","46,084,969","2,733","2,549","2,325",193
2015,04,Hardin,Total All,23,Construction,2,103,98,"1,205","1,302","20,387,668","1,223","1,180","1,211",193
2015,04,Jefferson,Total All,23,Construction,2,428,408,"13,257","1,423","245,231,262","13,232","13,005","13,535",193
2015,04,Harris,Total All,23,Construction,2,"7,158","6,788","169,035","1,518","3,335,323,174","171,444","168,589","167,072",193
2016,01,Hardin,Total All,23,Construction,2,102,98,"1,190","1,076","16,649,982","1,193","1,198","1,179",193
2016,01,Orange,Total All,23,Construction,2,131,127,"2,457","1,074","34,308,383","2,510","2,452","2,409",193
2016,01,Jefferson,Total All,23,Construction,2,427,407,"13,418","1,328","231,710,583","13,570","13,524","13,160",193
2016,01,Harris,Total All,23,Construction,2,"7,197","6,860","166,488","1,332","2,883,723,742","165,578","167,184","166,702",193
2016,02,Hardin,Total All,23,Construction,2,102,98,"1,214","1,106","17,455,004","1,227","1,198","1,217",193
2016,02,Harris,Total All,23,Construction,2,"7,234","6,879","166,256","1,294","2,796,868,282","167,730","166,484","164,555",193
